,p_parkacc,pop2010,gini_index,median_hh_income,ave_fam_size,job_house_tot,job_match,ozone,pm25_conc,p_hs_edatt,livewage_s,poverty_all,unemp_rate,voted,bad_water,traf_sev,alc_on,nocar,hh_fam,placename,county,regionid,placefp,geoname,zri_sqft,hval_sqft
73,0.4088398,3982.0,0.496,73712.0,2.67,0.8527714,1.6036916,2.8077181125,10.045852937,92.4,31.1431111111,9.4,6.3,73.3454216,0.0,146.39905549,0.0358487184083,3.2,77.0,Bonsall,San Diego,17114.0,7498,Bonsall CDP,1.106,193.0
74,0.3928096,2253.0,0.463,37411.0,3.13,0.9883236,1.4277108,11.0,6.784961,74.2,40.4949041096,23.2,18.2,61.5384615,62.982689747,67.4698795181,13.8038171327,9.7,58.0,Boron,Kern,23775.0,7568,Boron CDP,0.776,75.0
75,0.2895888,3429.0,0.402,50262.0,2.27,0.2985596,0.912,7.666667,7.3709201161,80.5,45.7831325301,12.3,6.8,79.3103448,10.3846153846,41.4593698176,11.4902303879,5.90117860381,65.0,Borrego Springs,San Diego,17124.0,7596,Borrego Springs CDP,1.1,132.0
76,0.2683323,4923.0,0.432,71696.0,2.52,0.2425941,0.2276484,0.0,7.883071,94.8,11.2509122056,8.3,4.6,67.5146199,0.0,63.1266245823,18.2002843794,5.3,65.9,Boulder Creek,Santa Cruz,17128.0,7652,Boulder Creek CDP,,254.0
78,0.9098305,24953.0,0.502,39676.0,3.6,0.9709202,0.9025893,2.666667,8.281823,61.4,31.5885022693,24.7,16.7,53.0920422,0.0,9.89290925729,21.8210235242,5.49062390261,81.9,Brawley,Imperial,41951.0,8058,Brawley city,,85.0
79,0.8202739,39282.0,0.393,79647.0,2.84,3.3934989,2.2875289,8.8741835581,14.534432651,92.5,9.50050114943,5.7,6.9,59.2794075,0.0,20.5245036918,46.4003869457,3.29989692847,69.9,Brea,Orange,17150.0,8100,Brea city,1.382,264.0
80,0.9141237,51481.0,0.363,89515.0,3.42,0.5055599,0.4860726,3.0,10.521367,89.3,8.27629310345,5.4,7.4,62.4687636,0.0,12.4870597808,23.9447563179,3.91745862253,78.0,Brentwood,Contra Costa,17155.0,8142,Brentwood city,0.942,132.0
82,1.0,4282.0,0.432,90156.0,2.29,3.3540897,2.8274021,0.0,8.479201,91.4,26.6594422311,6.1,10.6,67.3383711,0.0,58.3685976944,56.4222326016,17.9151515152,55.7,Brisbane,San Mateo,41987.0,8310,Brisbane city,1.672,370.0
83,0.5347222,4176.0,0.432,75000.0,3.38,0.2170963,0.1757276,0.0,8.276193,92.4,9.65517241379,15.6,5.9,62.9235237,0.0,1.40291806958,26.2931034483,13.4,72.6,Broadmoor,San Mateo,17174.0,8338,Broadmoor CDP,1.834,396.0
84,0.7462717,4828.0,0.4,63988.0,3.39,1.3855422,1.4321295,0.0,6.191304,76.1,17.3445581395,7.3,5.9,71.1500199,0.0,25.4183435713,57.2493786247,9.09425019425,72.9,Buellton,Santa Barbara,30642.0,8758,Buellton city,,240.0
